date,time,type,symbol,action,quantity,price,amount,fees,details
5/7/2024,8:49:00 AM,option,TSLA $190 Call 5/10/2024,BTO,1,0.65,65,0,,
5/7/2024,8:43:00 AM,option,TSLA $190 Call 5/10/2024,BTO,1,0.78,78,0,,
5/7/2024,8:34:00 AM,option,TSLA $172.5 Put 5/10/2024,STC,1,0.98,98,0,,
5/7/2024,8:34:00 AM,option,TSLA $182.5 Put 5/10/2024,STC,1,4.6,459.99999999999994,0,,
5/7/2024,8:34:00 AM,option,TSLA $172.5 Put 5/10/2024,STC,1,0.93,93,0,,
5/6/2024,2:14:00 PM,option,TSLA $170 Put 5/10/2024,STC,1,0.39,39,0,,
5/6/2024,1:36:00 PM,option,TSLA $170 Put 5/10/2024,BTO,1,0.34,34,0,,
5/6/2024,10:05:00 AM,option,TSLA $180 Put 5/10/2024,STC,1,2.6,260,0,,
5/6/2024,10:03:00 AM,option,TSLA $170 Put 5/10/2024,STC,1,0.49,49,0,,
5/6/2024,8:38:00 AM,option,TSLA $170 Put 5/10/2024,BTO,1,0.4,40,0,,
5/6/2024,8:37:00 AM,option,TSLA $180 Put 5/10/2024,BTO,1,2.1,210,0,,
5/6/2024,8:33:00 AM,option,TSLA $182.5 Put 5/10/2024,BTO,1,3.29,329,0,,
5/6/2024,8:31:00 AM,option,TSLA $172.5 Put 5/10/2024,BTO,1,0.75,75,0,,
5/6/2024,8:30:00 AM,option,TSLA $172.5 Put 5/10/2024,BTO,1,0.93,93,0,,
5/3/2024,9:21:00 AM,option,TSLA $197.5 Call 5/10/2024,STC,2,0.65,130,0,,
5/3/2024,8:55:00 AM,option,AAPL $190 Call 5/10/2024,STC,1,0.72,72,0,,
5/3/2024,8:51:00 AM,option,TSLA $190 Call 5/10/2024,STC,1,2.3,229.99999999999997,0,,
5/3/2024,8:49:00 AM,option,TSLA $187.5 Call 5/3/2024,STC,2,0.43,86,0,,
5/3/2024,8:49:00 AM,option,TSLA $185 Call 5/3/2024,STC,1,1.15,114.99999999999999,0,,
5/3/2024,8:48:00 AM,option,TSLA $185 Call 5/3/2024,STC,1,1.1,110.00000000000001,0,,
5/3/2024,8:42:00 AM,option,AAPL $190 Call 5/10/2024,BTO,1,0.59,59,0,,
5/3/2024,8:34:00 AM,option,TSLA $190 Call 5/10/2024,BTO,1,1.92,192,0,,
5/2/2024,2:59:00 PM,option,TSLA $185 Call 5/3/2024,STC,1,0.52,52,0,,
5/2/2024,8:56:00 AM,option,TSLA $185 Call 5/3/2024,BTO,1,0.93,93,0,,
5/2/2024,8:52:00 AM,option,TSLA $197.5 Call 5/10/2024,BTO,1,0.95,95,0,,
5/2/2024,8:50:00 AM,option,TSLA $187.5 Call 5/3/2024,BTO,1,0.59,59,0,,
5/2/2024,8:49:00 AM,option,TSLA $185 Call 5/3/2024,BTO,1,1,100,0,,
5/2/2024,8:46:00 AM,option,TSLA $185 Call 5/3/2024,BTO,1,1.2,120,0,,
5/2/2024,8:42:00 AM,option,TSLA $187.5 Call 5/3/2024,BTO,1,0.72,72,0,,
5/2/2024,8:40:00 AM,option,TSLA $197.5 Call 5/10/2024,BTO,1,1.07,107,0,,
5/2/2024,8:39:00 AM,option,TSLA $177.5 Put 5/3/2024,STC,1,1.05,105,0,,
5/2/2024,8:36:00 AM,option,TSLA $177.5 Put 5/3/2024,STC,1,1,100,0,,
5/2/2024,8:33:00 AM,option,TSLA $177.5 Put 5/3/2024,BTO,1,0.67,67,0,,
5/2/2024,8:32:00 AM,option,TSLA $177.5 Put 5/3/2024,BTO,1,0.73,73,0,,
5/1/2024,10:24:00 AM,option,TSLA $170 Put 5/3/2024,STC,1,0.6,60,0,,
5/1/2024,10:23:00 AM,option,TSLA $170 Put 5/3/2024,STC,2,0.65,130,0,,
5/1/2024,10:22:00 AM,option,TSLA $170 Put 5/3/2024,STC,6,0.66,396,0,,
5/1/2024,10:00:00 AM,option,ACB $11 Call 5/10/2024,BTO,1,0.14,14.000000000000002,0,,
5/1/2024,9:14:00 AM,option,TSLA $170 Put 5/3/2024,STC,1,0.67,67,0,,
5/1/2024,8:38:00 AM,option,TSLA $170 Put 5/3/2024,BTO,3,0.55,165,0,,
5/1/2024,8:37:00 AM,option,TSLA $170 Put 5/3/2024,BTO,2,0.52,104,0,,
5/1/2024,8:36:00 AM,option,TSLA $210 Call 5/10/2024,STC,2,0.65,130,0,,
5/1/2024,8:34:00 AM,option,TSLA $170 Put 5/3/2024,BTO,2,0.7,140,0,,
5/1/2024,8:32:00 AM,option,TSLA $170 Put 5/3/2024,BTO,2,0.49,98,0,,
5/1/2024,8:31:00 AM,option,TSLA $170 Put 5/3/2024,BTO,1,0.51,51,0,,
5/1/2024,8:31:00 AM,option,TSLA $210 Call 5/10/2024,BTO,2,0.6,120,0,,
